Age [ka BP]	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)
0.5605	10.4	10.4	10.3
0.5615	31.1	31.328	30.788
0.5625	20.74	20.886	20.526
0.5635	31.11	31.336	30.795
0.5645	10.4	10.4	10.3
0.5655	31.12	31.342	30.8
0.5665	20.75	20.899	20.537
0.5675	31.12	31.348	30.804
0.5685	10.4	10.5	10.3
0.5695	31.13	31.359	30.814
0.5705	31.14	31.363	30.818
0.5715	20.76	20.909	20.546
0.5725	31.14	31.371	30.824
0.5735	31.14	31.374	30.826
0.5745	20.77	20.92	20.555
0.5755	31.15	31.382	30.833
0.5765	20.77	20.924	20.558
0.5775	20.77	20.927	20.56
0.5785	20.78	20.929	20.562
0.5795	20.78	20.932	20.564
0.5805	31.17	31.403	30.851
0.5815	20.78	20.936	20.568
0.5825	20.79	20.94	20.571
0.5835	31.18	31.415	30.861
0.5845	31.19	31.419	30.865
0.5855	31.19	31.421	30.866
0.5865	20.8	20.951	20.58
0.5875	31.2	31.431	30.875
0.5885	20.8	20.956	20.585
0.5895	20.8	20.959	20.587
0.5905	20.8	20.96	20.588
0.5915	20.81	20.965	20.593
0.5925	20.81	20.966	20.593
0.5935	31.22	31.455	30.894
0.5945	20.81	20.97	20.597
0.5955	20.82	20.974	20.6
0.5965	31.23	31.466	30.904
0.5975	31.23	31.471	30.908
0.5985	20.82	20.982	20.607
0.5995	20.83	20.984	20.608
0.6005	20.83	20.988	20.611
0.6015	20.83	20.99	20.613
0.6025	20.84	20.995	20.617
0.6035	31.25	31.494	30.926
0.6045	31.26	31.498	30.929
0.6055	20.84	21.003	20.622
0.6065	31.27	31.509	30.938
0.6075	20.85	21.009	20.627
0.6085	20.85	21.012	20.629
0.6095	31.28	31.521	30.946
0.6105	20.86	21.019	20.635
0.6115	20.86	21.02	20.636
0.6125	31.29	31.535	30.958
0.6135	20.86	21.024	20.639
0.6145	31.3	31.543	30.965
0.6155	20.87	21.03	20.645
0.6165	31.31	31.551	30.972
0.6175	20.87	21.036	20.649
0.6185	10.4	10.518	10.3
0.6195	31.32	31.562	30.981
0.6205	20.88	21.044	20.656
0.6215	20.88	21.048	20.659
0.6225	31.32	31.571	30.988
0.6235	31.33	31.578	30.995
0.6245	20.89	21.054	20.665
0.6255	20.89	21.058	20.668
0.6265	20.89	21.059	20.669
0.6275	31.34	31.592	31.006
0.6285	31.35	31.597	31.01
0.6295	10.5	10.534	10.3
0.6305	20.9	21.07	20.678
0.6315	20.9	21.071	20.679
0.6325	31.36	31.614	31.024
0.6335	31.37	31.618	31.028
0.6345	20.91	21.081	20.687
0.6355	20.92	21.083	20.689
0.6365	20.92	21.086	20.691
0.6375	31.38	31.632	31.04
0.6385	20.93	21.093	20.697
0.6395	20.93	21.094	20.698
0.6405	31.39	31.645	31.051
0.6415	20.93	21.098	20.701
